epoch,accuracy,loss,val_accuracy,val_loss
0,0.7739999890327454,0.6580213904380798,0.8337500095367432,0.36474665999412537
1,0.8565000295639038,0.37596631050109863,0.8912500143051147,0.2896764874458313
2,0.8849999904632568,0.3186793327331543,0.9012500047683716,0.264690101146698
3,0.8964999914169312,0.2577081024646759,0.9037500023841858,0.2976986765861511
4,0.9135000109672546,0.2511235773563385,0.9075000286102295,0.3003751039505005
5,0.9210000038146973,0.22024135291576385,0.8987500071525574,0.3995855450630188
6,0.9384999871253967,0.19288428127765656,0.8612499833106995,0.5076690316200256
7,0.9430000185966492,0.1610196828842163,0.8974999785423279,0.3477700352668762
8,0.9459999799728394,0.1423272043466568,0.8962500095367432,0.43754225969314575
9,0.9539999961853027,0.13889266550540924,0.8799999952316284,0.5299956202507019
